iter	Passed	Remaining
0	141	141691
1	142	71082
2	143	47537
3	143	35762
4	144	28698
5	144	23985
6	145	20620
7	145	18098
8	146	16135
9	147	14566
10	147	13282
11	148	12210
12	148	11303
13	149	10524
14	149	9846
15	150	9251
16	150	8727
17	151	8261
18	151	7843
19	152	7468
20	152	7128
21	153	6819
22	153	6537
23	154	6278
24	154	6040
25	155	5821
26	155	5617
27	156	5428
28	156	5251
29	157	5087
30	157	4933
31	158	4789
32	158	4653
33	159	4525
34	159	4405
35	160	4292
36	160	4184
37	161	4082
38	161	3985
39	162	3893
40	162	3805
41	163	3723
42	163	3643
43	164	3567
44	164	3494
45	165	3425
46	165	3358
47	166	3295
48	166	3234
49	167	3175
50	167	3119
51	168	3064
52	168	3012
53	169	2962
54	169	2913
55	170	2866
56	170	2821
57	171	2778
58	171	2736
59	172	2695
60	172	2655
61	173	2617
62	173	2580
63	174	2545
64	174	2511
65	175	2477
66	175	2444
67	175	2410
68	176	2379
69	176	2349
70	177	2319
71	177	2291
72	178	2263
73	178	2236
74	179	2210
75	179	2185
76	180	2160
77	180	2136
78	181	2112
79	181	2089
80	182	2066
81	182	2044
82	183	2023
83	183	2002
84	183	1980
85	184	1960
86	184	1939
87	185	1920
88	185	1901
89	186	1883
90	186	1865
91	187	1848
92	187	1831
93	188	1815
94	188	1799
95	189	1783
96	189	1768
97	190	1752
98	190	1737
99	191	1723
100	192	1709
101	192	1692
102	192	1678
103	193	1665
104	193	1652
105	194	1638
106	194	1626
107	195	1613
108	195	1601
109	196	1588
110	196	1576
111	197	1564
112	197	1552
113	198	1541
114	198	1529
115	199	1518
116	199	1507
117	200	1496
118	200	1485
119	201	1474
120	201	1464
121	202	1454
122	202	1443
123	202	1433
124	203	1423
125	203	1414
126	204	1404
127	204	1394
128	205	1385
129	205	1376
130	206	1367
131	206	1358
132	207	1350
133	207	1341
134	208	1333
135	208	1325
136	209	1317
137	209	1308
138	210	1301
139	210	1293
140	211	1285
141	211	1277
142	211	1270
143	212	1263
144	212	1255
145	213	1248
146	213	1241
147	214	1234
148	214	1227
149	215	1220
150	215	1214
151	216	1207
152	216	1200
153	217	1194
154	217	1187
155	218	1181
156	218	1175
157	219	1168
158	219	1162
159	220	1156
160	220	1150
161	221	1144
162	221	1138
163	222	1132
164	222	1127
165	223	1121
166	223	1115
167	224	1110
168	224	1104
169	225	1099
170	225	1093
171	226	1088
172	226	1083
173	227	1077
174	227	1072
175	228	1067
176	228	1062
177	228	1057
178	229	1052
179	229	1047
180	230	1041
181	230	1036
182	231	1032
183	231	1027
184	232	1022
185	232	1018
186	233	1013
187	233	1008
188	234	1004
189	234	999
190	235	995
191	235	990
192	235	986
193	236	982
194	236	978
195	237	973
196	237	969
197	238	965
198	238	961
199	239	957
200	239	953
201	240	949
202	240	945
203	241	941
204	241	937
205	242	933
206	242	930
207	243	926
208	243	923
209	244	920
210	245	916
211	245	913
212	246	909
213	246	905
214	247	902
215	247	898
216	248	895
217	248	891
218	249	888
219	249	884
220	249	881
221	250	877
222	250	874
223	251	870
224	251	867
225	252	864
226	252	860
227	253	857
228	253	854
229	254	851
230	254	848
231	255	844
232	255	841
233	256	838
234	256	835
235	257	832
236	257	829
237	258	826
238	258	823
239	259	820
240	259	817
241	260	814
242	260	811
243	261	809
244	261	806
245	262	804
246	262	801
247	263	798
248	263	795
249	264	793
250	265	790
251	265	788
252	266	786
253	266	783
254	267	781
255	267	778
256	268	776
257	269	773
258	269	771
259	270	768
260	270	766
261	271	763
262	271	761
263	272	758
264	272	756
265	273	753
266	273	751
267	274	749
268	274	746
269	275	744
270	275	741
271	276	739
272	276	737
273	277	735
274	277	732
275	278	730
276	279	728
277	279	726
278	280	723
279	280	721
280	281	719
281	281	716
282	282	714
283	282	712
284	283	710
285	283	708
286	284	705
287	284	703
288	285	701
289	285	699
290	286	697
291	287	695
292	287	693
293	288	691
294	288	689
295	289	687
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	667
306	294	665
307	295	663
308	295	661
309	296	659
310	296	657
311	297	655
312	298	654
313	298	652
314	299	650
315	299	648
316	300	646
317	300	644
318	301	642
319	301	640
320	302	638
321	302	637
322	303	635
323	303	633
324	304	631
325	304	629
326	305	627
327	305	626
328	306	624
329	306	622
330	307	620
331	307	618
332	308	617
333	308	615
334	309	613
335	309	611
336	310	610
337	310	608
338	311	606
339	311	604
340	312	603
341	312	601
342	313	599
343	313	598
344	314	596
345	314	595
346	315	593
347	316	592
348	316	590
349	317	588
350	317	587
351	318	585
352	318	584
353	319	582
354	319	580
355	320	579
356	320	577
357	321	576
358	321	574
359	322	573
360	322	571
361	323	570
362	323	568
363	324	566
364	325	565
365	325	563
366	325	562
367	326	560
368	327	559
